Student ID,Username,Password,Name,Nationality,National ID,Telephone Number,Address,GPA,Level,Major,Current Credit Hours,Total Credit Hours,Registered Courses IDs,Courses Grades
2021170001,2021170001@cis.asu.edu.eg,Vdww012,Amr Mohamed Salem,Egyptian,3020123127,1167890123,Cairo,3.7,4,CS,17,86,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340&CSC350&CSC330&CIS365&CIS290&SCO311&CSC340&CSC360,A&B+&A-&A-&A&A-&B+&A-&A-&B&A-&B&B+&A&B+&B&B&A-&B&A&B+&B&A-&B+&A&A-&B&A-&B+
2021170002,2021170002@cis.asu.edu.eg,Pruh345,Aisha Omar Ibrahim,Egyptian,3020123123,1223456789,Giza,3.4,4,IS,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,B&B-&B+&A-&A-&B-&B+&B&B+&C&A-&B&B-&A&B&B+&B-&B&B-&B+&B&A-
2021170003,2021170003@cis.asu.edu.eg,Nhgh678,Youssef Khaled Sami,Egyptian,3028123123,1034567890,Alexandria,3.1,4,SC,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,B-&C+&B&B-&B&B-&B-&B&B-&B+&B&B-&B&B-&B&B-&B&B+&B-&B&B+&B-
2021170004,2021170004@cis.asu.edu.eg,Tklg901,Ali Mahmoud Yasser,Egyptian,3026123123,1545678901,6th of October,2.8,4,CSYS,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,C+&C&B-&B&B+&B-&B-&B&B&B&A-&B+&C+&B&B&B-&B&B&A-&C+&B-&B
2021170005,2021170005@cis.asu.edu.eg,7777,Sara Ahmed Mostafa,Egyptian,3020523123,1178901234,Cairo,1.911,4,CS,17,89,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340&CSC350&CSC330&CIS365&CIS290&SCO311&CIS150&CSC340&CSC360,D+&D&C-&C&C&C-&C-&C&D&B&C&C-&C&C-&C&C-&C-&B&C-&C+&C-&C-&C&C-&C&C-&C&C&C&N.A
2022170001,2022170001@cis.asu.edu.eg,Vdww345,Omar Khaled Ibrahim,Egyptian,3030123567,1145678901,Cairo,3.5,3,CS,17,83,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340&CSC350&CSC330&CIS365&CIS290&SCO311&BSC121,B+&B&A&A-&A&A-&B+&A-&A-&B&A-&B&B+&A&B+&B&B&A-&B&A&B+&B&A-&B+&N.A&N.A&N.A&A
2022170002,2022170002@cis.asu.edu.eg,Pruh678,Nada Ali Hassan,Egyptian,3030124568,1212345678,Giza,3.2,3,IS,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,B-&B&B&A-&B+&B-&B-&B&B&C&A-&B&B-&B+&B&B+&B-&B&B-&B+&B&A-
2022170003,2022170003@cis.asu.edu.eg,Nhgh901,Mostafa Sami Ahmed,Egyptian,3030124569,1087654321,Alexandria,3,3,SC,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,C+&B&C&B-&B&B-&B-&C+&B-&B+&B&B-&C+&B&B-&B&B&B+&B-&B&B+&B-
2022170004,2022170004@cis.asu.edu.eg,Tklg234,Yara Mahmoud Omar,Egyptian,3030124570,1523456789,6th of October,3.8,3,CSYS,17,65,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS340,A&B+&A-&A&A-&B+&A&B+&A&B&A-&B+&A-&B+&A&B+&A&A-&B+&B&A&B
2022170005,2022170005@cis.asu.edu.eg,Jlfn567,Abdullah Youssef Khaled,Egyptian,3030123123,1556789012,Cairo,2.5,3,CS,17,77,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270&BSC221&CIS250&CIS260&CIS280&HUM113&CIS353&CIS220&CIS243&CIS380&CIS150&CIS340&CSC350&CIS365&CIS290,C-&D+&C&C&C+&C-&C+&C-&D&B&C&C-&C-&C&C+&C&C-&B&C-&C+&C&B&C-&N.A&N.A&N.A
